,estilos,count
0,rock,188
1,pop,174
2,indie,132
3,urban,74
4,electronic,73
5,metal,73
6,hip-hop,59
7,punk,55
8,fusion,54
9,dj,41
10,latin,40
11,indie pop,36
12,rap,35
13,heavy metal,30
14,punk rock,29
15,folk,29
16,indie rock,27
17,reggaeton,27
18,techno,24
19,alternative,22
20,house,19
21,ska,16
22,flamenco,15
23,dance,13
24,hard rock,12
25,mestizaje,11
26,blues,10
27,hardcore,10
28,singer-songwriter,9
29,thrash metal,9
30,electro pop,9
31,rock n roll,9
32,power metal,8
33,trap,8
34,death metal,7
35,soul,7
36,electro,7
37,metalcore,7
38,rhythm and blues,6
39,classic rock,5
40,reggae,5
41,garage rock,5
42,funk,5
43,rockabilly,5
44,rock urbano,4
45,black metal,4
46,garage,3
47,surf,3
48,experimental,3
49,doom,3
50,classical,3
51,swing,3
52,rumba,3
53,psychedelic,3
54,country,2
55,symphonic metal,2
56,post-rock,2
57,ambient,2
58,dancehall,2
59,grindcore,2
60,post-punk,2
61,disco,2
62,doom metal,2
63,groove metal,2
64,shoegaze,2
65,industrial,2
66,indietronica,2
67,stoner,2
68,speed metal,2
69,southern rock,1
70,EDM,1
71,progressive,1
72,gothic metal,1
73,alternative rock,1
74,bluegrass,1
75,club,1
76,drum n bass,1
77,dub,1
78,dubstep,1
79,folk metal,1
80,gothic rock,1
81,nu metal,1
82,hardstyle,1
83,humor,1
84,idm,1
85,alt-country,1
86,krautrock,1
87,melodic death metal,1
88,melodic metal,1
89,video,1
